"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"46-1447472","St Marys Conference","426 Monmouth St","GLOUCESTER CITY","NJ","8030","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Human Services - Multipurpose and Other N.E.C.","Candid","Camden (County, 2022)"
"46-1770936","Audubon Recreation Center Dba Audubon Civic Reach","PO BOX 204","AUDUBON","NJ","8106","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Community Recreational Centers","Candid","Camden (County, 2022)"
"46-1803233","Jesus Loves You Today Inc","6 High Meadows Dr","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","f990n","2020","Christian","Candid","Camden (County, 2022)"
"46-1874683","Wings of Steel Sled Hockey Team","28 Cherry Cir","BLACKWOOD","NJ","8012","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Winter Sports (Snow and Ice)","Candid","Camden (County, 2022)"
"46-2110617","Sj Boys Read Inc","20 Manor House Ct","CHERRY HILL","NJ","8003","","","","","","","Education","f990n","2021","Remedial Reading, Reading Encouragement","Candid","Camden (County, 2022)"
"46-2111934","Divine Power Chapel International","18 Fox Hollow Ln","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","f990n","2020","Protestant","Candid","Camden (County, 2022)"
"46-2175577","Mulford Parents Association","104 6th St","BROOKLAWN","NJ","8030","","","","","","","Education","f990n","2021","Single Organization Support","Candid","Camden (County, 2022)"
"46-2357120","Golf Fore Autism","24 Saratoga Rd","STRATFORD","NJ","8084","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Golf (Country Clubs, use N50)","Candid","Camden (County, 2022)"
"46-2400346","South Jersey Stageworks Inc","2311 Lorkim Ln","ATCO","NJ","8004","","","","","","","Arts, Culture, and Humanities","f990n","2021","Theater","Candid","Camden (County, 2022)"
"46-2489700","Purrfect Angels Cat Rescue","5851 Nj-42","TURNERSVILLE","NJ","8012","","","","","","","Animal-Related","f990n","2021","Animal Related Activities N.E.C.","Candid","Camden (County, 2022)"
"46-2643335","Girls Like You","415 Sicklerville Rd Unit 144","SICKLERVILLE","NJ","8081","","","","","","","Youth Development","f990n","2022","Other Youth Development N.E.C.","Candid","Camden (County, 2022)"
"46-2664048","Voice Tv","1721 Lexington Ave","PENNSAUKEN","NJ","8110","","","","","","","Arts, Culture, and Humanities","f990n","2020","Media, Communications Organizations","Candid","Camden (County, 2022)"
"46-2738558","Fountain of Living Waters","65 Oakton Dr","ATCO","NJ","8004","","","","","","","Religion Related, Spiritual Development","f990n","2020","Christian","Candid","Camden (County, 2022)"
"46-2798857","Michael Anderson Learning Initiative","1016 Cardinal Ln","CHERRY HILL","NJ","8003","","","","","","","Education","f990n","2021","Educational Services and Schools - Other","Candid","Camden (County, 2022)"
"46-2803227","Rotary Club of Washington Township Foundation Inc","PO Box 601","BLACKWOOD","NJ","8012","","","","","","","Community Improvement, Capacity Building","f990n","2022","Community Service Clubs (Kiwanis, Lions, Jaycees, etc.)","Candid","Camden (County, 2022)"
"46-3688765","Urmajesty Banktruckfit Solutions Inc","6 Benedette Dr","WATERFORD WORKS","NJ","8089","","","","","","","Education","f990n","2019","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"46-3732947","Rebirth of Camden Foundation","227 N 42nd St","PENNSAUKEN","NJ","8110","","","","","","","Community Improvement, Capacity Building","f990n","2020","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"46-3771875","Morgan State University Alumni Association Incorporated","206 Ellis St","HADDONFIELD","NJ","8033","","","","","","","Education","f990n","2022","Alumni Associations","Candid","Camden (County, 2022)"
"46-3821695","American Humanist Association","2139 Hollinshed Ave","PENNSAUKEN","NJ","8110","","","","","","","Arts, Culture, and Humanities","f990n","2022","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"46-3886080","Camden Youth Aviation Program","411 Doral Dr","CHERRY HILL","NJ","8003","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"46-3919186","Pablo S Heart Foundation Inc","221 Morgan Ave","PENNSAUKEN","NJ","8110","","","","","","","Public, Society Benefit - Multipurpose and Other","f990n","2020","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"46-3946885","PTA New Jersey Congress of Parents & Teachers","8201 Park Ave","PENNSAUKEN","NJ","8109","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"46-4158314","Rebecca S Mission","1913 Country Club Dr","CHERRY HILL","NJ","8003","","","","","","","Education","f990n","2022","Remedial Reading, Reading Encouragement","Candid","Camden (County, 2022)"
"46-4275532","Italia Global Foundation","108 W Ormond Ave","CHERRY HILL","NJ","8002","","","","","","","International, Foreign Affairs, and National Security","f990n","2022","International Relief","Candid","Camden (County, 2022)"
"46-4295759","Humanity Preservation Foundation","12 Dalton Pl","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Human Service Organizations","Candid","Camden (County, 2022)"
"46-4412639","Itri4Kids","19 Henry Rd","GIBBSBORO","NJ","8026","","","","","","","Diseases, Disorders, Medical Disciplines","f990n","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"46-4415529","Destiny Outreach Center Inc","141 S BLACK HORSE PIKE","BLACKWOOD","NJ","8012","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"46-4418631","Marching Panther Boosters","PO Box 3029","CAMDEN","NJ","8101","","","","","","","Education","f990n","2023","Single Organization Support","Candid","Camden (County, 2022)"
"46-4497286","Parent Booster USA Inc","1750 Kresson Rd","CHERRY HILL","NJ","8003","","","","","","","Education","f990n","2022","Single Organization Support","Candid","Camden (County, 2022)"
"46-4795515","Steves Club National Program","7820 AIRPORT HWY","PENNSAUKEN","NJ","8109","","","","","","","Crime, Legal Related","f990n","2022","Delinquency Prevention","Candid","Camden (County, 2022)"
"46-4916301","Kevin P Spiers Memorial Scholarship Fund Inc","657 Pasadena Dr","MAGNOLIA","NJ","8049","","","","","","","Education","f990n","2021","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"46-4994512","Filling Buckets for Brianna","3 N Carlton St","LINDENWOLD","NJ","8021","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Gift Distribution","Candid","Camden (County, 2022)"
"46-5566434","Winslow Township Middle School Home & School Association","30 Cooper Folly Rd","ATCO","NJ","8004","","","","","","","Education","f990n","2021","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"46-5601213","Willie McNeill Foundation","926 Haddonfield Rd Ste E156","CHERRY HILL","NJ","8002","","","","","","","Education","f990n","2022","Educational Services and Schools - Other","Candid","Camden (County, 2022)"
"47-1141215","Parent Booster USA Inc","5 Rockhill Rd Ste 3","CHERRY HILL","NJ","8003","","","","","","","Youth Development","f990n","2022","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"47-1262283","Operation Feed 5000","7515 Forrest Ave","PENNSAUKEN","NJ","8110","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Emergency Assistance (Food, Clothing, Cash)","Candid","Camden (County, 2022)"
"47-1276736","Bootiki Fund Inc","300 Massachusetts Ave","CHERRY HILL","NJ","8002","","","","","","","Animal-Related","f990n","2020","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"47-1474613","Camden Honors Youth Club Inc","84 La Cascata","CLEMENTON","NJ","8021","","","","","","","Youth Development","f990n","2019","Youth Centers, Clubs, (includes Boys/Girls Clubs)- Multipurpose","Candid","Camden (County, 2022)"
"47-1549880","Copes Comfort Care Foundation Inc","686 W Cuthbert Blvd Unit 213","HADDON TOWNSHIP","NJ","8108","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Human Service Organizations","Candid","Camden (County, 2022)"
"47-1551886","Haddonfield Youth Field Hockey League","34 Potter St","HADDONFIELD","NJ","8033","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Other Recreation, Sports, or Leisure Activities N.E.C.","Candid","Camden (County, 2022)"
"47-1584733","Sterling Lady Knightd Cheerleading","110 Parkview Rd","STRATFORD","NJ","8084","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Amateur Sports Clubs, Leagues, N.E.C.","Candid","Camden (County, 2022)"
"47-1644465","4 Paws Dog Rescue","PO Box 492","BERLIN","NJ","8009","","","","","","","Animal-Related","f990n","2021","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"47-1741071","Sj Stars Baseball","143 New Freedom Rd","BERLIN","NJ","8009","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"47-1883174","Checkmates Charitable Association","13 Pebble Ln","CHERRY HILL","NJ","8002","","","","","","","Medical Research","f990n","2022","Digestive Diseases/Disorders Research","Candid","Camden (County, 2022)"
"47-1892150","New Future Youth Organization","45 Beaver Dam Dr","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"47-1929985","South Jersey Teenshop Inc","PO Box 1321","CAMDEN","NJ","8105","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"47-1988295","Gloucester Township Educational Foundation","17 Erial Rd","BLACKWOOD","NJ","8012","","","","","","","Education","f990n","2021","Single Organization Support","Candid","Camden (County, 2022)"
"47-2074823","Judith Glick Buckman Fund for the Future Inc","PO Box 4725","CHERRY HILL","NJ","8034","","","","","","","Civil Rights, Social Action, Advocacy","f990n","2022","Women's Rights","Candid","Camden (County, 2022)"
"47-2254025","Steve Neczypor Foundation","PO BOX 214","BRIDGEPORT","PA","19405","","","","","","","Education","f990n","2022","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"47-2338743","Sherrys Place Rescue","7210 Harbridge Ct","PENNSAUKEN","NJ","8109","","","","","","","Animal-Related","f990n","2022","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"47-2638131","Friends of the Camden County Child Advocacy Center","PO Box 387","HADDON HEIGHTS","NJ","8035","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"47-2709327","South Jersey United Football League","217 Orlando Ave","GLOUCESTER CITY","NJ","8030","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Football Clubs/Leagues","Candid","Camden (County, 2022)"
"47-2781579","Gloucester City Youth Soccer League","PO Box 563","GLOUCESTER CITY","NJ","8030","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Soccer Clubs/Leagues","Candid","Camden (County, 2022)"
"47-2910177","One Kind Act A Month","18 Piney Point Pl","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Homeless Services/Centers","Candid","Camden (County, 2022)"
"47-2920598","Camden County Association of School Administrators Inc","17 Erial Rd","BLACKWOOD","NJ","8012","","","","","","","Education","f990n","2022","Professional Societies & Associations","Candid","Camden (County, 2022)"
"47-3326891","Muse Collaborative A NJ Nonprofit Corporation","426 Jackson St","CAMDEN","NJ","8104","","","","","","","Arts, Culture, and Humanities","f990n","2021","Arts, Cultural Organizations - Multipurpose","Candid","Camden (County, 2022)"
"47-3339771","Tribbles Corporation","823 E Linden Ave","LINDENWOLD","NJ","8021","","","","","","","Animal-Related","f990n","2022","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"47-3475986","Still Family Historical Committee Inc","137 E Oak Ave","LAWNSIDE","NJ","8045","","","","","","","Education","f990n","2021","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"47-3479217","Pacesetters of South Jersey","235 Hayes Mill Rd","ATCO","NJ","8004","","","","","","","Youth Development","f990n","2020","Youth Development Programs","Candid","Camden (County, 2022)"
"47-3572038","Team Gt Riders for the Fallen Inc","1400 Chews Landing Rd Ste 3","CLEMENTON","NJ","8021","","","","","","","Community Improvement, Capacity Building","f990n","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"47-3834811","Puzzle Pieces Squared","316 Sheffield Rd","CHERRY HILL","NJ","8034","","","","","","","Diseases, Disorders, Medical Disciplines","f990n","2022","Autism","Candid","Camden (County, 2022)"
"47-3903602","South Jersey Psychological Association","1060 Kings Hwy N","CHERRY HILL","NJ","8034","","","","","","","Mental Health, Crisis Intervention","f990n","2022","Professional Societies & Associations","Candid","Camden (County, 2022)"
"47-3967395","Stanfill Senior Center","587 Haddon Ave","COLLINGSWOOD","NJ","8108","","","","","","","Housing, Shelter","f990n","2020","Other Housing Support Services","Candid","Camden (County, 2022)"
"47-3974867","God Hear the Children Foundation Inc","3005 Chapel Ave W Apt T-2h","CHERRY HILL","NJ","8002","","","","","","","Arts, Culture, and Humanities","f990n","2021","Arts Education/Schools","Candid","Camden (County, 2022)"
"47-4193363","Heart Assisted Therapy Foundation","803 Liberty Pl","SICKLERVILLE","NJ","8081","","","","","","","Mental Health, Crisis Intervention","f990n","2020","Counseling Support Groups","Candid","Camden (County, 2022)"
"47-4355356","Bracken Cavaliers Alumni Drum and Bugle Corps","23 Oswego Ave","AUDUBON","NJ","8106","","","","","","","Arts, Culture, and Humanities","f990n","2022","Music Groups, Bands, Ensembles","Candid","Camden (County, 2022)"
"47-4424687","Gamma Nu Zeta Storks Nest","PO Box 733","CAMDEN","NJ","8101","","","","","","","Health","f990n","2022","Public Health Program","Candid","Camden (County, 2022)"
"47-4451633","Gmodel Inc","6500 MADISON AVE","PENNSAUKEN","NJ","8109","","","","","","","Youth Development","f990n","2021","Youth Development Programs","Candid","Camden (County, 2022)"
"47-4455586","Positive Behavior Modification Martial Arts Program Inc","PO Box 582","PENNSAUKEN","NJ","8110","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"47-4486992","Fathers & Families Inc","9 Oak Hollow Ct","VOORHEES","NJ","8043","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Family Services","Candid","Camden (County, 2022)"
"47-4634649","Gloucester Township Elementary School Epc Inc","270 S Black Horse Pike","BLACKWOOD","NJ","8012","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2021","Public Foundations","Candid","Camden (County, 2022)"
"47-4639808","Grace in the Mud","412 Burning Tree Rd","CHERRY HILL","NJ","8034","","","","","","","Youth Development","f990n","2021","Youth Development Programs","Candid","Camden (County, 2022)"
"47-4848929","South Jersey Diamonds 18U Fastpitch","329 Franklin Ave","WEST BERLIN","NJ","8091","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"47-4962717","Mission Music","1087 Grandview Dr","PINE HILL","NJ","8021","","","","","","","Arts, Culture, and Humanities","f990n","2020","Nonmonetary Support N.E.C.","Candid","Camden (County, 2022)"
"47-4995600","Michael Swinney Ministries","646 Citation Ln","CHERRY HILL","NJ","8002","","","","","","","Community Improvement, Capacity Building","f990n","2022","Community Improvement, Capacity Building N.E.C.","Candid","Camden (County, 2022)"
"47-5139595","Fresh Oil Worship Center Inc","4783 Greene Ave","PENNSAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","f990n","2022","Christian","Candid","Camden (County, 2022)"
"47-5345559","Healing Wounds- Changing the Lives of Others","44 Melwood Ct","SICKLERVILLE","NJ","8081","","","","","","","Mental Health, Crisis Intervention","f990n","2020","Counseling Support Groups","Candid","Camden (County, 2022)"
"47-5347512","Hearth Community Fund","239 Monmouth St","GLOUCESTER CITY","NJ","8030","","","","","","","Community Improvement, Capacity Building","f990n","2022","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"47-5546707","Tony Chaplain Life Line Ministry","3415 New Jersey Ave","PENNSAUKEN","NJ","8109","","","","","","","Religion Related, Spiritual Development","f990n","2022","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"47-5676493","Downtown Berlin Revitalization Corp","55 SUMMIT AVE","BERLIN","NJ","8009","","","","","","","Community Improvement, Capacity Building","f990n","2022","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"51-0189546","National Sorority of Phi Delta Kappa Inc","216 POWELTON AVE","OAKLYN","NJ","8107","","","","","","","Education","f990n","2022","Student Sororities, Fraternities","Candid","Camden (County, 2022)"
"51-0225595","American Guild of Organists","20 Kings Hwy E","HADDONFIELD","NJ","8033","","","","","","","Arts, Culture, and Humanities","f990n","2020","Professional Societies, Associations","Candid","Camden (County, 2022)"
"51-0234807","PTA New Jersey Congress of Parents & Teachers","1220 Winston Way","CHERRY HILL","NJ","8034","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"51-0250746","PTA New Jersey Congress of Parents & Teachers","301 Grace St","SOMERDALE","NJ","8083","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"51-0252745","PTA New Jersey Congress of Parents & Teachers","240 S Haviland Ave","AUDUBON","NJ","8106","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"51-0419852","Haddon Township Seahawks Parents Association","970 Haddon Ave Unit 464","COLLINGSWOOD","NJ","8108","","","","","","","Youth Development","f990n","2022","Youth Development Programs","Candid","Camden (County, 2022)"
"51-0566917","Jubilate Deo Chorale & Orchestra Inc","153 Cuthbert Blvd","HADDON TOWNSHIP","NJ","8107","","","","","","","Arts, Culture, and Humanities","f990n","2022","Symphony Orchestras","Candid","Camden (County, 2022)"
"51-0650019","Pennsauken Volunteer Firefighters Association Inc","5301 Lexington Ave","PENNSAUKEN","NJ","8109","","","","","","","Public Safety","f990n","2022","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"52-1583546","Sweet Adelines International","PO BOX 581","TUCKAHOE","NJ","8250","","","","","","","Arts, Culture, and Humanities","f990n","2022","Singing Choral","Candid","Camden (County, 2022)"
"52-1607205","Bellmawr Hockey Association Inc","213 3rd Ave","BELLMAWR","NJ","8031","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Winter Sports (Snow and Ice)","Candid","Camden (County, 2022)"
"52-1728278","Nick Virgilio Haiku Association","1801 S Broadway","CAMDEN","NJ","8104","","","","","","","Arts, Culture, and Humanities","f990n","2022","Humanities Organizations","Candid","Camden (County, 2022)"
"52-1944909","PTA New Jersey Congress of Parents & Teachers","480 Haddon Ave","COLLINGSWOOD","NJ","8108","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"52-1972135","Sampson High School Alumni Association Inc","1932 S 7th St","CAMDEN","NJ","8104","","","","","","","Education","f990n","2021","Alumni Associations","Candid","Camden (County, 2022)"
"52-1978403","C C U Community Development Corporation","PO Box 346","SICKLERVILLE","NJ","8081","","","","","","","Community Improvement, Capacity Building","f990n","2022","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"52-2119435","Cherry Hill Fire Prevention and Protection Safety Alliance Inc","1100 Marlkress Rd","CHERRY HILL","NJ","8003","","","","","","","Public Safety","f990n","2021","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"54-2084898","The Dubois-Garvey Foundation","2220 Woodlynne Ave","OAKLYN","NJ","8107","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Personal Social Services","Candid","Camden (County, 2022)"
"54-2101314","Voorhees Breakfast Rotary Club Foundation Inc","PO Box 1645","VOORHEES","NJ","8043","","","","","","","Community Improvement, Capacity Building","f990n","2021","Community Service Clubs (Kiwanis, Lions, Jaycees, etc.)","Candid","Camden (County, 2022)"
"55-0795877","Way of the Spirit Ministries International Inc","1116 N 19th St","CAMDEN","NJ","8105","","","","","","","Religion Related, Spiritual Development","f990n","2021","Christian","Candid","Camden (County, 2022)"
"56-2427765","Delaware & Susquehanna Model Railroad Club Inc","535 Station Ave","HADDON HEIGHTS","NJ","8035","","","","","","","Arts, Culture, and Humanities","f990n","2022","History Museums","Candid","Camden (County, 2022)"
"56-2497609","The Sylvia Ann Woods Foundation","550 Bilper Ave","LINDENWOLD","NJ","8021","","","","","","","Environmental Quality, Protection, and Beautification","f990n","2020","Forest Conservation","Candid","Camden (County, 2022)"
"56-2619440","MA Maison Orphanage","28 Penfield Ln","SICKLERVILLE","NJ","8081","","","","","","","Human Services - Multipurpose and Other","f990n","2020","Homes for Children & Adolescents","Candid","Camden (County, 2022)"
"61-1545231","Rutgers the State University of NJ","131 PARK BOULEVARD","CHERRY HILL","NJ","8002","","","","","","","Youth Development","f990n","2022","Agricultural, Youth Development","Candid","Camden (County, 2022)"
"61-1637051","Aatg Maryland Chapter","112 Haddontowne Ct Ste 104","CHERRY HILL","NJ","8034","","","","","","","Education","f990n","2022","Professional Societies & Associations","Candid","Camden (County, 2022)"
"61-1995355","Centerville Unity Day Commitee","574 Raritan St","CAMDEN","NJ","8105","","","","","","","Community Improvement, Capacity Building","f990n","2021","Community, Neighborhood Development, Improvement","Candid","Camden (County, 2022)"
"65-1179466","Aggrey Memorial Old Students Association A M O S A","8360 Harrowgate Dr","PENNSAUKEN","NJ","8109","","","","","","","Education","f990n","2021","Student Services and Organizations","Candid","Camden (County, 2022)"
"65-1275242","Lazarus Mission Inc","7 Pittman Pl","SICKLERVILLE","NJ","8081","","","","","","","Youth Development","f990n","2021","Adult, Child Matching Programs","Candid","Camden (County, 2022)"
"68-0501233","Heartful Ministries Inc","1240 Folkestone Way","CHERRY HILL","NJ","8034","","","","","","","Religion Related, Spiritual Development","f990n","2022","Protestant","Candid","Camden (County, 2022)"
"72-1618565","Global Scope Inc","3301 Tall Pnes","PINE HILL","NJ","8021","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Human Services - Multipurpose and Other N.E.C.","Candid","Camden (County, 2022)"
"74-3031983","Providence Academy A Nonprofit Corporation","411 Commerce Ln","WEST BERLIN","NJ","8091","","","","","","","Human Services - Multipurpose and Other","f990n","2020","Residential, Custodial Care (Group Home)","Candid","Camden (County, 2022)"
"74-3049186","Animal Adoption Center Inc","501 Berlin Rd N","LINDENWOLD","NJ","8021","","","","","","","Animal-Related","f990n","2022","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"74-3059708","Burlington Camden Kappa Community Development Corp","111 Curcio Ln","HAMMONTON","NJ","8037","","","","","","","Youth Development","f990n","2020","Youth Development Programs","Candid","Camden (County, 2022)"
"74-3196968","Genesis Charities of New Jersey","377 Tansboro Rd","BERLIN","NJ","8009","","","","","","","Education","f990n","2022","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"75-1904018","Sri Gaura Vinoda Saraswat Sanga","322 Cypress Ave","OAKLYN","NJ","8107","","","","","","","International, Foreign Affairs, and National Security","f990n","2023","International Democracy & Civil Society Development","Candid","Camden (County, 2022)"
"75-3101120","PTA New Jersey Congress of Parents & Teachers","101 Macarthur Blvd","WESTMONT","NJ","8108","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"80-0426751","Cherry Hill Police Officers Civic Association Inc","PO Box 1010","CHERRY HILL","NJ","8034","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2022","Public Foundations","Candid","Camden (County, 2022)"
"80-0454652","Sierra Leone Initiatives","221 Aman Ave","CLEMENTON","NJ","8021","","","","","","","International, Foreign Affairs, and National Security","f990n","2021","International Development, Relief Services","Candid","Camden (County, 2022)"
"80-0666902","Faith To Faith Fellowship Ministries","PO Box 276","SICKLERVILLE","NJ","8081","","","","","","","Religion Related, Spiritual Development","f990n","2022","Protestant","Candid","Camden (County, 2022)"
"80-0712991","Society of St Vincent Depau-St Joachim Conference","601 W Browning Rd","BELLMAWR","NJ","8031","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Human Services - Multipurpose and Other N.E.C.","Candid","Camden (County, 2022)"
"80-0723925","Gloucester City Pba Local 40 Civic Association Inc","PO Box 162","GLOUCESTER CITY","NJ","8030","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2022","Public Foundations","Candid","Camden (County, 2022)"
"80-0746706","Connected NJ Consulting Services","319 Erial Rd","SICKLERVILLE","NJ","8081","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Physical Fitness/Community Recreational Facilities","Candid","Camden (County, 2022)"
"80-0764918","Unified Umpires Association of Southern New Jersey Inc","2826 N Centre St","PENNSAUKEN","NJ","8109","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"80-0876905","Open Doors Inc","3619 Camden Ave","PENNSAUKEN","NJ","8110","","","","","","","Housing, Shelter","f990n","2022","Low-Cost Temporary Housing (includes Youth Hostels)","Candid","Camden (County, 2022)"
"81-0849511","Keep Love Present Inc","305 Senate Ct","CAMDEN","NJ","8103","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Human Service Organizations","Candid","Camden (County, 2022)"
"81-0972388","Audubon Amateur Radio Club","117 Oak St","AUDUBON","NJ","8106","","","","","","","Public Safety","f990n","2022","Disaster Preparedness and Relief Services","Candid","Camden (County, 2022)"
"81-1074788","Paraglide Tandem International Inc","136 Madison Ave","CHERRY HILL","NJ","8002","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Amateur Sports Clubs, Leagues, N.E.C.","Candid","Camden (County, 2022)"
"81-1075920","Lindenwold Youth Athletic Assoication","39 Chiswick Dr","LINDENWOLD","NJ","8021","","","","","","","Youth Development","f990n","2022","Other Youth Development N.E.C.","Candid","Camden (County, 2022)"
"81-1213070","Clothing Closet of Love I","115 Stanley Ave","BELLMAWR","NJ","8031","","","","","","","Human Services - Multipurpose and Other","f990n","2020","Family Services","Candid","Camden (County, 2022)"
"81-1309929","International Airway Management Society Inc","PO Box 3356","CHERRY HILL","NJ","8034","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Human Services - Multipurpose and Other N.E.C.","Candid","Camden (County, 2022)"
"81-1431179","Mr Bill Stoudt Scholarship Fund","PO Box 112","STRATFORD","NJ","8084","","","","","","","Education","f990n","2021","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"81-1717907","Voorhees Township Police Foundation","1180 White Horse Rd","VOORHEES","NJ","8043","","","","","","","Crime, Legal Related","f990n","2022","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"81-1819013","Hospice of Southern New Jersey Inc","1110 Laurel Oak Rd","VOORHEES","NJ","8043","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Hospice","Candid","Camden (County, 2022)"
"81-1834021","South Jersey Fire Cheerleading","1711 Willow Pl","CLEMENTON","NJ","8021","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Recreational, Pleasure, or Social Club","Candid","Camden (County, 2022)"
"81-1958194","Mary Pate Ministries","350 Blackwood Clementon Rd Apt 312","PINE HILL","NJ","8021","","","","","","","Religion Related, Spiritual Development","f990n","2022","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"81-2022330","Stuck in the Middle","PO Box 145","CEDAR BROOK","NJ","8018","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Family Services","Candid","Camden (County, 2022)"
"81-2057069","Charleston Swim Team Booster Club","1297 Marlkress Rd","CHERRY HILL","NJ","8003","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Swimming, Water Recreation","Candid","Camden (County, 2022)"
